Flag,"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
Chile,TALBOR,9244178,"2025-11-27 08:22 (UTC -3)",-37.028358,-73.164459,0.0,356
Chile,ALF,9251913,"2025-11-27 07:52 (UTC -3)",-36.814068,-73.660416,14.8,293
Chile,PELICANO,9105671,"2025-11-27 08:22 (UTC -3)",-36.660633,-74.049896,11.0,284
Chile,"SAN JOSE",9184407,"2025-11-27 08:22 (UTC -3)",-37.027847,-73.16227,0.1,350
Chile,"CORSARIO I",9148477,"2025-11-27 08:18 (UTC -3)",-37.026676,-73.156242,0.0,325
Chile,"MARIA JOSE",9145499,"2025-11-27 08:21 (UTC -3)",-33.544998,-72.278336,12.0,214
Chile,CAZADOR,9151046,"2025-11-27 08:21 (UTC -3)",-33.524319,-72.15963,13.3,213
Chile,RUTH,9244166,"2025-11-27 08:21 (UTC -3)",-33.727421,-72.394257,14.5,210
Chile,VENTISQUERO,9143324,"2025-11-27 08:17 (UTC -3)",-37.027901,-73.162079,0.0,229
Chile,LONCO,9165138,"2025-11-27 08:20 (UTC -3)",-37.032768,-73.162056,0.0,198
Chile,VESTERVEG,9163013,"2025-11-27 08:21 (UTC -3)",-37.028606,-73.16375,0.0,39
Chile,PEHUENCO,9124457,"2025-11-27 08:22 (UTC -3)",-33.320454,-72.394539,12.1,211
Chile,"BUCANERO I",9148489,"2025-11-27 08:21 (UTC -3)",-33.493332,-72.360001,12.0,210
Chile,"CENTINELA I",9657210,"2025-11-27 08:22 (UTC -3)",-37.031315,-73.160454,0.1,313
Chile,"DON JULIO",9114335,"2025-11-27 08:22 (UTC -3)",-33.509884,-72.20755,13.6,208
Chile,"DON ALFONSO",9169251,"2025-11-27 08:19 (UTC -3)",-33.434502,-72.13327,12.3,210
Chile,"DON EDMUNDO",9160918,"2025-11-27 08:22 (UTC -3)",-36.533661,-74.437523,2.5,165
Chile,"DON MANUEL",9141560,"2025-11-27 08:23 (UTC -3)",-33.630589,-71.972565,12.3,203
Chile,QUERELEMA,9073646,"2025-11-19 11:45 (UTC -3)",-33.037628,-71.623138,0.0,203
Chile,"YELCHO I",9111785,"2025-11-27 08:22 (UTC -3)",-36.727486,-73.131554,0.0,207
Chile,ERIKA,8505460,"2025-11-27 08:21 (UTC -3)",-36.727928,-73.129875,0.0,193
Chile,RAPANUI,9123063,"2025-11-13 08:34 (UTC -3)",-36.696632,-73.100319,0.0,334
Chile,"DON BORIS",9145504,"2025-11-27 08:20 (UTC -3)",-35.143795,-73.009445,12.3,216
Chile,"DON TITO",9105827,"2025-11-27 08:16 (UTC -3)",-33.891205,-72.265434,12.3,213
Chile,"VICHUQUEN II",9171668,"2025-11-27 08:21 (UTC -3)",-36.523445,-74.332848,11.6,112
Chile,JAVIER,9050046,"2025-11-27 08:23 (UTC -3)",-37.027683,-73.161217,0.0,286
Chile,"CORAL I",9044982,"2025-11-27 08:22 (UTC -3)",-36.731182,-73.128227,0.0,127
Chile,"SANTA MARIA II",9141584,"2025-11-27 08:20 (UTC -3)",-37.101665,-73.166664,0.0,339
Chile,LIDER,9169237,"2025-11-27 08:22 (UTC -3)",-33.732334,-72.212082,13.3,210
Chile,COBRA,9160695,"2025-11-27 08:21 (UTC -3)",-36.725838,-73.130775,0.0,90
