Flag,"Vessel Name",Imo,"Time Of Latest Position",Latitude,Longitude,Speed,Course
Chile,TALBOR,9244178,"2025-11-28 07:21 (UTC -3)",-36.861427,-73.893608,13.8,221
Chile,ALF,9251913,"2025-11-28 07:15 (UTC -3)",-36.876366,-73.952324,15.8,143
Chile,PELICANO,9105671,"2025-11-28 07:21 (UTC -3)",-36.845432,-73.960571,0.6,118
Chile,"SAN JOSE",9184407,"2025-11-28 07:21 (UTC -3)",-36.822128,-73.987709,0.8,226
Chile,"CORSARIO I",9148477,"2025-11-28 07:19 (UTC -3)",-36.896347,-73.969795,4.4,213
Chile,"MARIA JOSE",9145499,"2025-11-28 07:19 (UTC -3)",-36.885155,-73.951073,0.4,195
Chile,CAZADOR,9151046,"2025-11-28 07:21 (UTC -3)",-36.906425,-73.903503,11.3,123
Chile,RUTH,9244166,"2025-11-28 07:21 (UTC -3)",-36.869026,-74.002914,11.5,342
Chile,VENTISQUERO,9143324,"2025-11-28 07:21 (UTC -3)",-37.027901,-73.162056,0.0,6
Chile,LONCO,9165138,"2025-11-28 07:21 (UTC -3)",-37.027828,-73.162315,0.0,271
Chile,VESTERVEG,9163013,"2025-11-28 07:21 (UTC -3)",-37.028587,-73.163742,0.0,159
Chile,PEHUENCO,9124457,"2025-11-28 07:21 (UTC -3)",-36.806305,-74.12178,12.3,145
Chile,"BUCANERO I",9148489,"2025-11-28 07:21 (UTC -3)",-36.842056,-74.073921,11.3,175
Chile,"CENTINELA I",9657210,"2025-11-28 07:15 (UTC -3)",-37.031273,-73.164139,0.0,234
Chile,"DON JULIO",9114335,"2025-11-28 07:21 (UTC -3)",-36.78474,-74.063103,13.0,24
Chile,"DON ALFONSO",9169251,"2025-11-28 07:21 (UTC -3)",-36.778484,-74.02182,12.5,172
Chile,"DON EDMUNDO",9160918,"2025-11-28 07:21 (UTC -3)",-36.881351,-73.930038,0.6,328
Chile,"DON MANUEL",9141560,"2025-11-28 07:21 (UTC -3)",-36.819168,-73.97036,1.6,170
Chile,QUERELEMA,9073646,"2025-11-19 11:45 (UTC -3)",-33.037628,-71.623138,0.0,203
Chile,"YELCHO I",9111785,"2025-11-28 07:21 (UTC -3)",-36.831093,-74.025345,1.0,259
Chile,ERIKA,8505460,"2025-11-28 07:21 (UTC -3)",-36.843143,-74.041862,8.6,264
Chile,RAPANUI,9123063,"2025-11-13 08:34 (UTC -3)",-36.696632,-73.100319,0.0,334
Chile,"DON BORIS",9145504,"2025-11-28 07:21 (UTC -3)",-36.856461,-73.964462,1.0,189
Chile,"DON TITO",9105827,"2025-11-28 07:21 (UTC -3)",-36.802994,-74.074348,11.6,73
Chile,"VICHUQUEN II",9171668,"2025-11-28 07:06 (UTC -3)",-37.099926,-73.162117,0.0,168
Chile,JAVIER,9050046,"2025-11-28 07:06 (UTC -3)",-37.027672,-73.161224,0.1,246
Chile,"CORAL I",9044982,"2025-11-28 07:19 (UTC -3)",-36.865433,-73.981796,12.0,276
Chile,"SANTA MARIA II",9141584,"2025-11-28 07:21 (UTC -3)",-36.816086,-74.062675,10.8,127
Chile,LIDER,9169237,"2025-11-28 07:21 (UTC -3)",-36.820866,-74.061119,0.5,241
Chile,COBRA,9160695,"2025-11-28 07:19 (UTC -3)",-36.725815,-73.13076,0.0,284
